ID,Make,Model,Year,Trim,Trim (description),Base MSRP,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city/highway MPG,Range in miles (city/hwy),Country of origin,Car classification,Platform code / generation number
200489830,BMW,3 Series,2014,328d,328d 4dr Sedan (2.0L 4cyl Turbodiesel 8A),"$38,600",Sedan,182.5,71.3,56.3,110.6,3460,I4,2,181,4000,280,1750,rear wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,37,32/45 MPG,480.0/675.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489829,BMW,3 Series,2014,328d xDrive,328d xDrive 4dr Sedan AWD (2.0L 4cyl Turbodiesel 8A),"$40,600",Sedan,182.5,71.3,56.3,110.6,3620,I4,2,181,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,35,31/43 MPG,465.0/645.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489782,BMW,3 Series,2014,328d xDrive,328d xDrive 4dr Wagon AWD (2.0L 4cyl Turbodiesel 8A),"$42,950",Wagon,182,71.3,56.3,110.6,3790,I4,2,181,4000,280,1750,all wheel drive,8-speed shiftable automatic,diesel,diesel fuel,15,35,31/43 MPG,465.0/645.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200468555,BMW,3 Series,2014,328i xDrive,328i xDrive 4dr Wagon AWD (2.0L 4cyl Turbo 8A),"$41,450",Wagon,182,71.3,56.3,110.6,3780,I4,2,240,5000,255,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (required),15.8,26,22/33 MPG,347.6/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
200489835,BMW,3 Series,2014,ActiveHybrid 3,ActiveHybrid 3 4dr Sedan (3.0L 6cyl Turbo gas/electric hybrid 8A),"$49,900",Sedan,182.5,71.3,56.3,110.6,3825,I6,3,335,5800,330,1200,rear wheel drive,8-speed shiftable automatic,hybrid,premium unleaded (required),15,28,25/33 MPG,375.0/495.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
101386360,BMW,3 Series,2012,328i,328i 4dr Sedan (2.0L 4cyl Turbo 6M),"$34,900",Sedan,182.5,71.3,56.3,110.6,3406,I4,2,240,5000,255,1250,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.8,27,23/34 MPG,363.4/537.2 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
101420164,BMW,3 Series,2012,335i,335i 4dr Sedan (3.0L 6cyl Turbo 6M),"$42,400",Sedan,182.5,71.3,56.3,110.6,3571,I6,3,300,5800,300,1300,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.8,23,20/30 MPG,316.0/474.0 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
101411295,BMW,3 Series,2012,328i,328i 4dr Wagon (3.0L 6cyl 6M),"$37,500",Wagon,178.6,71.5,55.8,108.7,3527,I6,3,230,6500,200,2750,rear wheel drive,6-speed manual,gas,premium unleaded (required),16.1,20,17/26 MPG,273.7/418.6 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
101411296,BMW,3 Series,2012,328i xDrive,328i xDrive 4dr Wagon AWD (3.0L 6cyl 6M),"$39,500",Wagon,178.6,71.5,55.8,108.7,3770,I6,3,230,6500,200,2750,all wheel drive,6-speed manual,gas,premium unleaded (required),16.1,20,17/25 MPG,273.7/402.5 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
101411139,BMW,3 Series,2012,328i,328i 2dr Coupe (3.0L 6cyl 6M),"$38,700",Coupe,181.9,70.2,54.9,108.7,3362,I6,3,230,6500,200,2750,rear wheel drive,6-speed manual,gas,premium unleaded (required),16.1,22,18/28 MPG,289.8/450.8 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
101411140,BMW,3 Series,2012,328i xDrive,328i xDrive 2dr Coupe AWD (3.0L 6cyl 6M),"$40,400",Coupe,181.9,70.2,54.9,108.7,3583,I6,3,230,6500,200,2750,all wheel drive,6-speed manual,gas,premium unleaded (required),16.1,20,17/25 MPG,273.7/402.5 mi.,Europe/Germany,Compact car,"E90, E91, E92, E93"
